english	hi_deva_in	status	register_or_domain	authority	rationale_or_rejected_choice
continuum	सातत्य	provisional controlled	analysis/set theory	CSTT academic usage; transparent Sanskritic formation	Retain continuum in the English sidecar; the parenthetical Hindi label is reader-facing.
alphabet	वर्णमाला	controlled	formal languages	CSTT/native Hindi computing usage	Preserves the formal-language sense; not a translation of the identifier A.
finite string	परिमित वर्ण-शृंखला	controlled	formal languages	transparent Hindi pedagogical register; CSTT indexes string as रज्जु माला	Prefer a reader-comprehensible native compound; retain string and CSTT रज्जु माला as indexed alternatives, reject bare स्ट्रिंग in main prose.
empty string	रिक्त वर्ण-शृंखला	controlled	formal languages	compositional with controlled रिक्त and वर्ण-शृंखला	Preserve the formal symbol Lambda and translate only the reader-facing name.
string length	वर्ण-शृंखला की लंबाई	controlled	formal languages	transparent Hindi pedagogical register	Preserve the formal command and value in len(x)=n.
infinite sequence	अनंत अनुक्रम	controlled	set theory/formal languages	CSTT/native Hindi mathematics usage	Reject infinite sequence hybrid; sequence remains अनुक्रम.
union	सम्मिलन	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use the native textbook term; reject यूनियन and bare English union in main prose.
intersection	सर्वनिष्ठ	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use the NCERT term for the operation denoted by intersection; reject इंटरसेक्शन.
common element	उभयनिष्ठ अवयव	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Makes the shared-membership sense explicit and supports the intersection definition.
disjoint sets	असंयुक्त समुच्चय	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Preserve the empty-intersection criterion; reject disjoint सेट.
set difference	समुच्चय-अंतर	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use अंतर in the caption and hyphenated समुच्चय-अंतर at first formal definition; reject difference transliteration.
operation	संक्रिया	controlled	mathematics	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Standard mathematical operation term; reject ऑपरेशन in main prose.
index	सूचकांक	controlled	indexed families	CSTT/native Hindi mathematics usage	Preserve the formal index set I and subscripts; reject इंडेक्स in main prose.
dual operation	द्वैत संक्रिया	controlled	logic/mathematics	CSTT/native academic Hindi usage	Quoted as in source on first use; preserve the conceptual duality without English substitution.
ordered pair	क्रमित युग्म	controlled	set theory	CSTT Fundamental/Learners Glossary of Mathematics; NCERT Hindi Class XI via IIT Kanpur SATHEE	Exact official headword and native textbook term; reject ordered पेयर and अनुरूपित युग्म.
unordered pair	अक्रमित युग्म	controlled	set theory	compositional contrast with CSTT क्रमित युग्म; IIT Kanpur SATHEE set-theory usage	Preserve the source contrast with ordered pairs; reject unordered पेयर.
triple	त्रिक	controlled	set theory/relations	NCERT Hindi Class XI via IIT Kanpur SATHEE	Use the native textbook term for a three-component ordered group; reject ट्रिपल.
quadruple	चतुष्टय	provisional controlled	set theory/relations	transparent native mathematical formation paired with the displayed four-component object	Reject क्वाड्रपल; the displayed nesting makes the intended arity explicit.
ordered n-tuple	क्रमित n-अवयवी समूह	reader-facing controlled gloss	set theory/relations	transparent Hindi pedagogical formation; NCERT controls क्रमित, अवयव, युग्म and त्रिक	Avoid the opaque transliteration n-टपल; preserve n and the displayed tuple command as formal notation.
Cartesian product	कार्तीय गुणनफल	controlled	set theory/relations	NCERT Hindi Class XI Relations and Functions via IIT Kanpur SATHEE	Native textbook term for A × B; कार्तीय गुणन retained as indexed variant, reject Cartesian product transliteration.
recursive definition	पुनरावर्ती परिभाषा	controlled	logic/mathematics	CSTT/native Hindi computing and mathematics usage	Preserve the recurrence equations literally; reject recursive definition hybrid.
induction	आगमन	controlled	logic/mathematics	CSTT/native Hindi mathematics usage	Use k पर आगमन for induction on k; reject इंडक्शन.
grid	जालिका	controlled	mathematics/visualization	CSTT/native academic Hindi usage	Describes the displayed rectangular arrangement without altering its array syntax.
word over an alphabet	वर्णमाला पर बना शब्द	controlled	formal languages	transparent Hindi formal-language register, consistent with controlled वर्णमाला and वर्ण-शृंखला	Use A पर बना शब्द in context; preserve formal A* and reject bare वर्ड.
Russell's paradox	रसेल का विरोधाभास	controlled	set theory/logic	CSTT controls paradox as विरोधाभास; native Hindi mathematical naming	Preserve Russell as the proper name रसेल; reject English Paradox and विरोधोक्ति as the main edition term.
set-builder form / comprehension	समुच्चय-निर्माण	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Native textbook term for describing a set by the common property of exactly its elements; reject सेट-बिल्डर and opaque comprehension transliteration.
property	गुणधर्म	controlled	logic/set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Distinguish a defining property from a mere informal description; reject प्रॉपर्टी.
contradiction	विरोधाभास	controlled	logic	CSTT fundamental glossaries; native Hindi logic usage	Use the same controlled family for paradox and contradiction where context disambiguates; reject कॉन्ट्राडिक्शन.
non-self-membered	स्वयं का अवयव न होने वाला	reader-facing controlled gloss	set theory	transparent composition with controlled अवयव	Prefer the explicit relation over an opaque coined noun or self-membered transliteration.
axiom	अभिगृहीत	controlled	mathematics/logic	NCERT Hindi mathematics via IIT Kanpur SATHEE; CSTT academic usage	Official/native mathematical term; reject एक्सिओम and do not conflate with theorem.
inconsistent	असंगत	controlled	logic	CSTT/native Hindi academic usage	Preserve the logical sense of jointly untenable claims; reject इनकंसिस्टेंट.
naive set theory	अनौपचारिक समुच्चय सिद्धान्त	reader-facing controlled gloss	set theory	pedagogical semantic gloss paired with explicit absence of precise existence axioms	Avoid naïve/नैव transliteration; English remains only in the terminology sidecar.
relation	संबंध	controlled	set theory/logic	NCERT Hindi mathematics via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Use the established reader term throughout; reject रिलेशन and रिश्ता in mathematical prose.
binary relation	द्वयी संबंध	controlled	set theory/logic	CSTT Fundamental Glossary of Computer Science; CSTT Gyan Garima terminology record	Official headword; reject बाइनरी संबंध, while द्विचर संबंध remains an indexed cross-domain variant.
order relation	क्रम-संबंध	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics; native Hindi university syllabus usage	Use the hyphenated compound at first mention and क्रम thereafter where unambiguous.
identity relation	तत्समक संबंध	controlled	set theory/logic	CSTT Fundamental Glossary of Mathematics; IIT Kanpur SATHEE Hindi mathematics	Official/native term for the diagonal relation; reject आइडेंटिटी संबंध.
less-than relation	‘से छोटा है’ संबंध	reader-facing controlled gloss	set theory/order theory	NCERT Hindi relational phrasing via IIT Kanpur SATHEE	The quoted predicate is immediately tied to the preserved symbol <; reject an opaque coined noun.
greater-than relation	‘से बड़ा है’ संबंध	reader-facing controlled gloss	set theory/order theory	NCERT Hindi relational phrasing via IIT Kanpur SATHEE	The quoted predicate is immediately tied to the preserved symbol >; reject English greater-than.
less-than-or-equal relation	‘से छोटा या बराबर है’ संबंध	reader-facing controlled gloss	set theory/order theory	transparent Hindi mathematical phrasing paired with preserved symbol ≤	Preserve the source relation and use the displayed inequality to disambiguate.
greater-than-or-equal relation	‘से बड़ा या बराबर है’ संबंध	reader-facing controlled gloss	set theory/order theory	transparent Hindi mathematical phrasing paired with preserved symbol ≥	Preserve the source relation and use the displayed inequality to disambiguate.
order	क्रम	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics; native Hindi university syllabus usage	Use for the technical relation class, not for arbitrary textual sequence.
irreflexive	अस्वतुल्य	controlled	set theory/logic	IGNOU eGyanKosh Hindi mathematics; CSTT cross-domain relation terminology	The accompanying definition makes the no-self-pair condition explicit; reject untranslated irreflexive.
strict order	प्रबल क्रम	controlled	set theory/order theory	CSTT terminology record for strong (strict) order	Use only when the relation is both an order and irreflexive; reject स्ट्रिक्ट ऑर्डर.
empty relation	रिक्त संबंध	controlled	set theory/logic	IIT Kanpur SATHEE Hindi mathematics	Preserve the empty-set symbol and reject empty रिलेशन.
universal relation	सार्वत्रिक संबंध	controlled	set theory/logic	IIT Kanpur SATHEE Hindi mathematics	Preserve A^2 as the formal universal relation on A; reject यूनिवर्सल संबंध.
diagonal	विकर्ण	controlled	set theory/linear algebra	CSTT/native Hindi mathematics usage	Use for the displayed matrix diagonal; do not confuse with Cartesian-product geometry.
domain	प्रांत	controlled	set theory/functions	NCERT Hindi Class XI/XII via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Use the native textbook term for the underlying set on which a relation is considered; reject डोमेन in main prose.
reflexivity	स्वतुल्यता	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Nominal form paired with the definition heading; do not confuse with equivalence.
reflexive	स्वतुल्य	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; CSTT computer-science glossary	Native textbook and official glossary term; reject रिफ्लेक्सिव and the misleading स्वतः.
transitivity	संक्रामकता	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Nominal form used in the definition heading and derived transparently from controlled संक्रामक.
transitive	संक्रामक	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Native textbook term; reject ट्रांज़िटिव and संचारी in this edition.
symmetry	सममिति	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Nominal form used for the relation property; distinguish from geometric symmetry only by context.
symmetric	सममित	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Native textbook term; reject सिमेट्रिक.
anti-symmetry	प्रति-सममिति	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics	Keep the प्रति- contrast explicit; never collapse this property into mere non-symmetry or असममिति.
anti-symmetric	प्रति-सममित	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics	Definition requires both directions to imply equality; reject एंटी-सिमेट्रिक and distinguish from असममित.
connectivity	संबद्धता	provisional controlled	set theory/order theory	transparent native mathematical formation with the source definition	The definition immediately gives comparability of every distinct pair; retain connected in the English index and reject कनेक्टिविटी.
connected	संबद्ध	provisional controlled	set theory/order theory	transparent native mathematical formation with the source definition	Use only for the explicitly defined relation property; do not infer graph connectedness.
equivalence relation	तुल्यता संबंध	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	The established three-property relation; reject equivalence रिलेशन and distinguish from तत्समक संबंध.
irreflexivity	अस्वतुल्यता	controlled	set theory/logic	IGNOU eGyanKosh Hindi mathematics; CSTT cross-domain relation terminology	Nominal form paired with controlled अस्वतुल्य; distinguish from merely not reflexive.
asymmetry	असममिति	controlled	set theory/logic	transparent Hindi mathematical formation; native Hindi examination usage	The definition excludes both directions for every pair; distinguish sharply from प्रति-सममिति.
asymmetric	असममित	controlled	set theory/logic	transparent Hindi mathematical formation; native Hindi examination usage	Reject asymmetric transliteration; definition makes the no-mutual-pair condition explicit.
equivalence class	तुल्यता वर्ग	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; CSTT Fundamental Glossary of Mathematics	Established official/native term for the class of all elements equivalent to a fixed representative; reject equivalence क्लास.
R-equivalent	R-तुल्य	controlled	set theory/logic	NCERT/CSTT equivalence terminology plus preserved formal relation symbol	Keep the formal symbol R invariant and attach the controlled adjective तुल्य; reject R-equivalent in Hindi reader prose.
partition	विभाजन	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Use for the mutually disjoint subsets induced by an equivalence relation; individual parts are खंड, not separate partitions.
quotient set	विभाग समुच्चय	controlled	set theory/logic	CSTT Fundamental Glossary of Mathematics	Official headword for the set of equivalence classes; reject bare भागफल where it could suggest numerical division.
modular arithmetic	मापांक अंकगणित	provisional controlled	number theory	transparent native formation paired with the preserved congruence notation and full remainder definition	No direct official headword was located in the bounded check; reject unadapted मॉड्यूलर अरिथमेटिक and retain English in the index.
remainder	शेषफल	controlled	arithmetic/number theory	NCERT Hindi Class X via IIT Kanpur SATHEE	Established school-mathematics term for the remainder after division; reject रिमेंडर.
preorder	पूर्वक्रम	provisional controlled	set theory/order theory	transparent native formation paired with the complete reflexive-and-transitive definition	No direct official Hindi headword was located in the bounded check; reject प्रीऑर्डर and keep the English term indexed.
partial order	आंशिक क्रम	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics, Unit 3	Native university text directly defines आंशिक क्रम as reflexive, anti-symmetric, and transitive; reject partial ऑर्डर.
total order	संपूर्ण क्रम	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics, Unit 3	Native university text directly uses संपूर्ण क्रम संबंध for total order; keep every-pair comparability explicit.
linear order	रैखिक क्रम	controlled	set theory/order theory	CSTT Fundamental Glossary of Mathematics	Official headword; the source identifies it with total order and both Hindi names are retained.
comparable	तुलनीय	controlled	set theory/order theory	CSTT/native academic Hindi usage	The surrounding definition makes pairwise comparability explicit; reject कम्पेरेबल.
strict linear order	प्रबल रैखिक क्रम	controlled set-theory formation	set theory/order theory	CSTT प्रबल क्रम plus CSTT रैखिक क्रम	Compositional term preserves both controlled properties; reject स्ट्रिक्ट लीनियर ऑर्डर.
strict total order	प्रबल संपूर्ण क्रम	controlled set-theory formation	set theory/order theory	CSTT प्रबल क्रम plus IGNOU संपूर्ण क्रम	Compositional synonym paired with प्रबल रैखिक क्रम exactly where the source gives both names.
divisibility without remainder	निःशेष विभाज्यता	reader-facing controlled	number theory	IGNOU native Hindi divisibility examples; NCERT/CSTT remainder register	The preserved divides notation immediately fixes the sense; reject divisibility transliteration.
extension relation	विस्तार संबंध	provisional controlled	sequences/order theory	transparent mathematical formation paired with the complete sequence definition	Distinguish this relation from विस्तारिता; preserve the formal prefix condition and reject एक्सटेंशन रिलेशन.
initial segment	आरंभिक खंड	provisional controlled	sequences/order theory	transparent Hindi pedagogical formation paired with the complete prefix definition	Use only for a sequence prefix in this unit; reject इनिशियल सेगमेंट.
reflexive closure	स्वतुल्य संवरक	controlled	set theory/relations	CSTT Fundamental Glossary of Computer Science	Official headword for adjoining the diagonal identity relation; reject रिफ्लेक्सिव क्लोजर.
graph	आलेख	controlled	graph theory/discrete mathematics	CSTT Fundamental and Learners' Glossaries of Mathematics	Use the official mathematical headword; distinguish the mathematical आलेख from the general diagram आरेख and reject unadapted ग्राफ in reader prose.
directed graph	दिष्ट आलेख	controlled	graph theory/relations	IGNOU eGyanKosh Hindi mathematics Unit 3	The native university relation unit directly uses दिष्ट आलेख for a directed-graph representation of a relation; reject डायरेक्टेड ग्राफ.
vertex	शीर्ष	controlled	graph theory/geometry	NCERT Hindi mathematics via IIT Kanpur SATHEE	Established mathematical term; preserve formal vertex labels and reject वर्टेक्स.
node	संधि-बिंदु	controlled with first-use synonym	graph theory/computer science	CSTT Fundamental Glossary of Computer Science	Use संधि-बिंदु where the source explicitly gives node as a synonym of vertex, followed by शीर्ष at first use; reject नोड.
edge	कोर	controlled	graph theory/discrete mathematics	CSTT Fundamental and Learners' Glossaries of Mathematics	Use the official graph-theory headword; avoid किनारा where it could suggest an ordinary physical boundary and reject एज.
isolated vertex	पृथक शीर्ष	controlled composition	graph theory	CSTT/NCERT controlled शीर्ष plus transparent native पृथक	The source meaning is a vertex present in V with no incident represented edge; reject आइसोलेटेड वर्टेक्स.
diagram	आरेख	controlled	mathematics/visual representation	CSTT mathematics terminology and native instructional usage	Use for the drawn visual object and keep it distinct from graph = आलेख.
graphical representation	आलेखी निरूपण	controlled	mathematics/visual representation	CSTT Learners' Glossary of Mathematics	Official compositional terminology; source inflection appears as आलेखी रूप में निरूपित.
discrete mathematics	विविक्त गणित	controlled	mathematics	CSTT mathematics terminology	Established subject name; reject डिस्क्रीट मैथमेटिक्स.
computer science	संगणक विज्ञान	controlled	computer science	CSTT Fundamental Glossary of Computer Science	Use the native subject name in Hindi prose; reject कंप्यूटर साइंस.
formula	सूत्र	controlled	logic/mathematics	CSTT/native Hindi logic and mathematics register	The locale token supplies singular सूत्र and plural/oblique सूत्रों; reject फॉर्मूला in reader prose.
derivation	व्युत्पत्ति	provisional controlled	logic	transparent established mathematical formation paired with the surrounding proof-system context	Use singular व्युत्पत्ति, direct plural व्युत्पत्तियाँ, and oblique plural व्युत्पत्तियों for a formal derivation and its tree; retain English only in the sidecar and reject डेरिवेशन.
syntax tree	वाक्यविन्यास-वृक्ष	provisional controlled	logic/formal languages	transparent composition of native वाक्यविन्यास and controlled वृक्ष	The decomposition sentence fixes the intended parse-tree sense; reject सिंटैक्स ट्री.
tree	वृक्ष	controlled	set theory/graph theory	established Hindi mathematics and data-structure usage; complete source definition	Preserve the graph-theoretic metaphor and distinguish the formal object by its displayed pair and order conditions.
root	मूल	controlled	tree/order theory	established Hindi mathematics and data-structure usage; diagram and definition	The unique least element and drawn lowermost node fix the sense; reject रूट.
ancestor	पूर्वज	controlled tree terminology	tree/order theory	established native kinship metaphor used in Hindi data-structure teaching	The upward edge-reachability sentence fixes the formal relation; reject एन्सेस्टर.
least element	न्यूनतम अवयव	controlled	set/order theory	IIT Kanpur SATHEE Hindi natural-number material	The native witness states that every nonempty set of natural numbers has a न्यूनतम अवयव; preserve the full quantified definition here.
well-ordered	सुक्रमित	provisional controlled	set/order theory	bounded Hindi mathematical usage plus complete in-text definition	The text immediately defines the condition through every nonempty subset having a least element; reject bare वेल-ऑर्डर्ड.
successor	उत्तरवर्ती	provisional controlled	tree/order theory	transparent native order-theory formation paired with the no-intermediate-element definition	Distinguish the relation from a later sequence value; reject सक्सेसर.
predecessor	पूर्ववर्ती	provisional controlled	tree/order theory	transparent native order-theory formation paired with the proposition and proof	Distinguish it from ancestor; a predecessor is immediate under the definition.
parent	जनक	controlled tree terminology	tree/data structures	established native data-structure kinship metaphor	Use as the source synonym of predecessor; reject पैरेंट.
child	संतान	controlled tree terminology	tree/data structures	established native data-structure kinship metaphor	Use as the source synonym of successor; reject चाइल्ड.
branch	शाखा	controlled	tree/order theory	established native mathematical metaphor plus complete maximal-chain definition	The formal definition prevents collision with an arbitrary botanical branch; reject ब्रांच.
maximal chain	अधिकतम शृंखला	provisional controlled	order theory	transparent composition paired with the complete comparability and maximality clauses	Use शृंखला only for the order-theoretic chain; reject मैक्सिमल चेन.
finitely branching	परिमित-शाखी	provisional controlled	tree theory	transparent composition paired with the finite-successor definition	The definition fixes finite branching at every node; reject फाइनाइटली ब्रांचिंग.
binary tree	द्विआधारी वृक्ष	controlled	tree theory/computer science	standard native computer-science formation	The displayed alphabet {0,1} and two-successor statement fix the binary sense.
subtree	उपवृक्ष	controlled	tree theory	standard native mathematical composition	The closure condition and ambient वृक्ष make the relation explicit; reject सबट्री.
lemma	उपप्रमेय	controlled	logic/mathematics	CSTT/native Hindi mathematical register	Use for Kőnig's lemma and its weak form; preserve the proper name's TeX accent command.
computability theory	संगणनीयता सिद्धांत	controlled	logic/computer science	CSTT/native Hindi technical formation with standardized modern orthography	Use the native discipline name; reject कम्प्यूटेबिलिटी थ्योरी and standardize new copy on सिद्धांत rather than the legacy spelling सिद्धान्त.
inverse relation	प्रतिलोम संबंध	controlled	set theory/relations	IIT Kanpur SATHEE Hindi relations material	The native witness defines R inverse by reversing ordered pairs; reject इनवर्स रिलेशन.
relative product	सापेक्ष गुणनफल	provisional controlled	set theory/relations	transparent native composition paired with the complete quantified definition	Keep this source-specific R mid S operation distinct from ordinary Cartesian product and from function composition; reject रिलेटिव प्रोडक्ट.
restriction of a relation	प्रतिबंधन	provisional controlled	set theory/relations	Hindi mathematical restriction register plus the displayed intersection with A squared	Use in the phrase A पर R का प्रतिबंधन; the formula fixes the exact operation and avoids the ordinary-condition sense of प्रतिबंध.
application of a relation	अनुप्रयोग	provisional controlled	set theory/relations	native mathematical application register plus the displayed relational-image definition	Use in the phrase A पर R का अनुप्रयोग; do not mistranslate it as function evaluation.
transitive closure	संक्रामक संवरक	controlled composition	set theory/relations	controlled संक्रामक plus existing CSTT-controlled संवरक register	The recursive union of positive powers fixes the closure; reject ट्रांजिटिव क्लोजर.
reflexive transitive closure	स्वतुल्य संक्रामक संवरक	controlled composition	set theory/relations	controlled स्वतुल्य and संक्रामक plus existing CSTT-controlled संवरक register	The displayed union with the identity relation fixes reflexive-transitive closure; reject transliterated hybrid forms.
function	फलन	controlled	set theory/functions	NCERT Hindi Class XI/XII mathematics via IIT Kanpur SATHEE	Native textbook headword; reject फ़ंक्शन in reader prose.
mapping	प्रतिचित्रण	controlled	set theory/functions	NCERT Hindi relations-and-functions register via IIT Kanpur SATHEE	Use for the assignment of each domain element to exactly one codomain element; reject मैपिंग.
codomain	सहप्रांत	controlled	set theory/functions	NCERT Hindi Class XI/XII mathematics via IIT Kanpur SATHEE	Native textbook term paired with प्रांत and परिसर; reject कोडोमेन.
range of a function	परिसर	controlled	set theory/functions	NCERT Hindi Class XI/XII mathematics via IIT Kanpur SATHEE	Use for the actual set of function values; keep distinct from सहप्रांत and reject रेंज.
image under a function	प्रतिबिंब	controlled	set theory/functions	NCERT Hindi relations-and-functions register via IIT Kanpur SATHEE	Use for the element paired with a domain element; the unit also gives the accessible value wording.
input	निवेश	controlled	functions/computation	IIT Kanpur SATHEE Hindi relations-and-functions notes	Native input term paired with निर्गम; reject इनपुट.
output	निर्गम	controlled	functions/computation	IIT Kanpur SATHEE Hindi relations-and-functions notes	Native output term paired with निवेश; reject आउटपुट.
argument of a function	फलन-कोणांक	controlled	set theory/functions	CSTT Comprehensive Glossary of Engineering records फलन कोणांक	Use after the accessible synonym निवेश; reject आर्ग्युमेंट and avoid bare तर्क collision with logical argument.
value of a function	फलन का मान	controlled	set theory/functions	NCERT Hindi mathematics usage via IIT Kanpur SATHEE	Use with the explicit notation f(x); retain the possessive form required by Hindi prose.
black box	काली पेटी	reader-facing controlled gloss	mathematics/computation	transparent native pedagogical metaphor	The following sentence defines the abstraction completely; reject ब्लैक बॉक्स in reader prose.
piecewise definition	खंडशः परिभाषा	controlled	functions	standard Hindi mathematical formation	Use खंडशः for definition by cases; the displayed cases immediately fix the sense.
exhaustive cases	सर्वसमावेशी स्थितियाँ	controlled composition	logic/functions	controlled सर्वसमावेशी plus transparent स्थितियाँ	Every possible input must occur in a case; reject एक्सहॉस्टिव केसेज़.
mutually exclusive cases	परस्पर अपवर्जी स्थितियाँ	controlled composition	logic/functions	controlled अपवर्जी logic register plus transparent परस्पर	No input may occur in two cases; reject म्यूचुअली एक्सक्लूसिव केसेज़.
successor of a number	परवर्ती	controlled	number theory	NCERT Hindi Class VI mathematics via IIT Kanpur SATHEE	Use for n+1 in number-system prose; keep distinct from the existing relation/tree-theory उत्तरवर्ती and reject सक्सेसर.
surjective function	आच्छादक फलन	controlled	set theory/functions	NCERT Hindi Class XII relations and functions via IIT Kanpur SATHEE	Native textbook headword; आच्छादी is an attested synonym, but use आच्छादक consistently and reject सर्जेक्टिव.
surjection	आच्छादक प्रतिचित्रण	controlled	set theory/functions	NCERT Hindi Class XII definition plus the displayed quantified condition	Use the noun phrase for a mapping whose range equals its codomain; reject सर्जेक्शन.
injective function	एकैकी फलन	controlled	set theory/functions	NCERT Hindi Class XII relations and functions via IIT Kanpur SATHEE	Native textbook headword; one-to-one is explained by the definition and reject इंजेक्टिव.
injection	एकैकी प्रतिचित्रण	controlled	set theory/functions	NCERT Hindi Class XII definition plus the displayed uniqueness condition	Use the noun phrase for a mapping that never identifies distinct inputs; reject इंजेक्शन.
bijective function	एकैकी आच्छादक फलन	controlled	set theory/functions	NCERT Hindi Class XII relations and functions via IIT Kanpur SATHEE	Use the explicit native conjunction; आच्छादी is an attested variant and reject बाइजेक्टिव.
bijection	एकैकी आच्छादक प्रतिचित्रण	controlled	set theory/functions	NCERT Hindi Class XII bijective definition plus OLP definition	Use the noun phrase for a mapping that is both injective and surjective; reject बाइजेक्शन.
one-to-one correspondence	एकैकी संगति	controlled composition	set theory/functions	controlled एकैकी plus native mathematical संगति	The following source clause defines unique pairing; reject वन-टू-वन कॉरेस्पॉन्डेन्स.
graph of a function	फलन का आलेख	controlled	set theory/functions	controlled CSTT आलेख plus native फलन genitive	Use for the relation R_f of ordered pairs; reject फ़ंक्शन ग्राफ and keep distinct from आरेख as a drawn diagram.
functional relation	फलनात्मक संबंध	controlled composition	set theory/functions	controlled फलन plus productive mathematical suffix	The adjacent proposition gives the uniqueness and totality conditions; reject फ़ंक्शनल रिलेशन.
well-defined	सुपरिभाषित	controlled	mathematics	standard Hindi mathematical formation	Use where uniqueness guarantees that f assigns one value; reject वेल-डिफाइंड.
